Player,Club,League,Position,Age,Nationality,Weekly Wage,Contract until,Season
"Rowan Northrop","Northgate Rovers",Example League (ENG),Goalkeeper,30,Scotland,"£27,183",30.6.2028,2026/27
"Rowan Fairhurst","Northgate Rovers",Example League (ENG),Defender,25,Portugal,"£7,172",30.6.2029,2026/27
"Owen Prentice","Northgate Rovers",Example League (ENG),Defender,28,England,"£20,355",30.6.2030,2026/27
"Marcus Winslow","Northgate Rovers",Example League (ENG),Forward,35,England,"£19,775",30.6.2027,2026/27
"Leon Winslow","Northgate Rovers",Example League (ENG),Defender,28,Sweden,"£20,677",30.6.2028,2026/27
"Callum Thorne","Northgate Rovers",Example League (ENG),Defender,26,Nigeria,"£11,852",30.6.2028,2026/27
"Tobias Devlin","Example City",Example League (ENG),Midfielder,32,England,"£18,265",30.6.2029,2026/27
"Dominic Northrop","Example City",Example League (ENG),Defender,32,Ireland,"£11,090",30.6.2027,2026/27
"Marcus Northrop","Example City",Example League (ENG),Goalkeeper,20,Scotland,"£35,621",30.6.2030,2026/27
"Callum Halliwell","Example City",Example League (ENG),Defender,18,Nigeria,"£17,897",30.6.2028,2026/27
"Ellis Winslow","Example City",Example League (ENG),Goalkeeper,27,Nigeria,"£13,004",30.6.2030,2026/27
"Ellis Carrick","Example City",Example League (ENG),Goalkeeper,30,Scotland,"£32,008",30.6.2029,2026/27
"Reece Devlin","Example City",Example League (ENG),Forward,34,England,"£31,581",30.6.2029,2026/27
"Jarrod Prentice","Example City",Example League (ENG),Defender,35,Nigeria,"£11,833",30.6.2030,2026/27
"Jarrod Winslow","Example City",Example League (ENG),Defender,23,Scotland,"£10,114",30.6.2029,2026/27
"Callum Prentice","Example City",Example League (ENG),Defender,20,England,"£37,454",30.6.2029,2026/27
"Owen Fairhurst","Example City",Example League (ENG),Midfielder,20,Nigeria,"£22,250",30.6.2028,2026/27
"Callum Maddox","Example City",Example League (ENG),Forward,19,England,"£24,283",30.6.2029,2026/27
"Ellis Devlin","Example City",Example League (ENG),Forward,33,England,"£21,404",30.6.2030,2026/27
"Leon Thorne","Example City",Example League (ENG),Forward,33,Ireland,"£8,945",30.6.2028,2026/27
"Rowan Maddox","Example City",Example League (ENG),Defender,21,Portugal,"£15,522",30.6.2028,2026/27
"Marcus Prentice","Example City",Example League (ENG),Forward,32,Sweden,"£29,008",30.6.2030,2026/27
"Leon Halliwell","Example City",Example League (ENG),Forward,23,Scotland,"£12,999",30.6.2028,2026/27
"Rowan Gorton","Example City",Example League (ENG),Midfielder,22,Scotland,"£23,239",30.6.2029,2026/27
"Kieran Halliwell","Example City",Example League (ENG),Midfielder,30,Sweden,"£13,260",30.6.2028,2026/27
"Rowan Ashworth","Example City",Example League (ENG),Goalkeeper,24,Portugal,"£28,878",30.6.2029,2026/27
"Reece Winslow","Example City",Example League (ENG),Defender,30,Sweden,"£26,123",30.6.2028,2026/27
"Marcus Thorne","Example City",Example League (ENG),Goalkeeper,20,Nigeria,"£12,069",30.6.2030,2026/27
"Jarrod Rushton","Example City",Example League (ENG),Goalkeeper,32,England,"£30,535",30.6.2029,2026/27
"Owen Northrop","Example City",Example League (ENG),Goalkeeper,34,Scotland,"£14,944",30.6.2027,2026/27
"Owen Winslow","Fictional Wanderers",Example League (ENG),Defender,18,Portugal,"£6,833",30.6.2028,2026/27
"Reece Gorton","Fictional Wanderers",Example League (ENG),Goalkeeper,18,Nigeria,"£12,133",30.6.2030,2026/27
"Rowan Thorne","Fictional Wanderers",Example League (ENG),Forward,24,Portugal,"£9,740",30.6.2030,2026/27
"Reece Rushton","Fictional Wanderers",Example League (ENG),Forward,26,Nigeria,"£10,096",30.6.2027,2026/27
"Dominic Winslow","Fictional Wanderers",Example League (ENG),Defender,20,Ireland,"£13,802",30.6.2027,2026/27
"Callum Ashworth","Fictional Wanderers",Example League (ENG),Defender,27,Portugal,"£9,291",30.6.2028,2026/27
"Reece Carrick","Fictional Wanderers",Example League (ENG),Goalkeeper,23,Sweden,"£11,995",30.6.2029,2026/27
"Jarrod Ashworth","Fictional Wanderers",Example League (ENG),Goalkeeper,27,Ireland,"£6,067",30.6.2030,2026/27
"Tobias Halliwell","Fictional Wanderers",Example League (ENG),Forward,21,Portugal,"£12,340",30.6.2029,2026/27
"Dominic Gorton","Fictional Wanderers",Example League (ENG),Defender,30,England,"£35,372",30.6.2027,2026/27
"Jarrod Maddox","Fictional Wanderers",Example League (ENG),Forward,19,England,"£13,314",30.6.2030,2026/27
"Reece Prentice","Fictional Wanderers",Example League (ENG),Defender,18,Portugal,"£6,309",30.6.2028,2026/27
"Owen Ashworth","Fictional Wanderers",Example League (ENG),Goalkeeper,35,Scotland,"£33,813",30.6.2027,2026/27
"Kieran Gorton","Fictional Wanderers",Example League (ENG),Midfielder,28,England,"£17,732",30.6.2030,2026/27
"Kieran Devlin","Fictional Wanderers",Example League (ENG),Forward,28,Portugal,"£8,004",30.6.2029,2026/27
"Callum Northrop","Fictional Wanderers",Example League (ENG),Goalkeeper,34,Portugal,"£26,208",30.6.2027,2026/27
"Marcus Devlin","Fictional Wanderers",Example League (ENG),Forward,23,Portugal,"£28,352",30.6.2030,2026/27
"Owen Gorton","Fictional Wanderers",Example League (ENG),Midfielder,36,Portugal,"£45,846",30.6.2027,2026/27
"Owen Carrick","Fictional Wanderers",Example League (ENG),Midfielder,34,Nigeria,"£11,052",30.6.2027,2026/27
"Reece Thorne","Fictional Wanderers",Example League (ENG),Forward,34,Nigeria,"£17,265",30.6.2030,2026/27
"Ashton Carrick","Fictional Wanderers",Example League (ENG),Midfielder,25,Scotland,"£26,705",30.6.2027,2026/27
"Leon Northrop","Fictional Wanderers",Example League (ENG),Defender,18,Sweden,"£12,256",30.6.2030,2026/27
"Dominic Rushton","Fictional Wanderers",Example League (ENG),Defender,29,Nigeria,"£11,427",30.6.2027,2026/27
"Owen Thorne","Fictional Wanderers",Example League (ENG),Forward,20,Scotland,"£21,542",30.6.2030,2026/27
"Reece Northrop","Kingsmoor Athletic",Example League (ENG),Forward,30,Scotland,"£19,422",30.6.2030,2026/27
"Ellis Thorne","Kingsmoor Athletic",Example League (ENG),Forward,20,Scotland,"£16,800",30.6.2027,2026/27
"Ashton Halliwell","Kingsmoor Athletic",Example League (ENG),Goalkeeper,25,Nigeria,"£9,493",30.6.2029,2026/27
"Callum Devlin","Kingsmoor Athletic",Example League (ENG),Midfielder,23,Scotland,"£6,431",30.6.2029,2026/27
"Leon Carrick","Kingsmoor Athletic",Example League (ENG),Defender,27,Nigeria,"£14,344",30.6.2027,2026/27
"Leon Gorton","Kingsmoor Athletic",Example League (ENG),Defender,21,Ireland,"£12,671",30.6.2030,2026/27
"Kieran Fairhurst","Kingsmoor Athletic",Example League (ENG),Goalkeeper,19,Sweden,"£12,697",30.6.2028,2026/27
"Ellis Fairhurst","Kingsmoor Athletic",Example League (ENG),Defender,33,Ireland,"£4,853",30.6.2030,2026/27
"Ashton Winslow","Kingsmoor Athletic",Example League (ENG),Goalkeeper,29,Nigeria,"£17,986",30.6.2027,2026/27
"Kieran Maddox","Kingsmoor Athletic",Example League (ENG),Goalkeeper,21,Sweden,"£16,674",30.6.2030,2026/27
"Ashton Thorne","Kingsmoor Athletic",Example League (ENG),Goalkeeper,20,England,"£17,384",30.6.2030,2026/27
"Tobias Carrick","Kingsmoor Athletic",Example League (ENG),Goalkeeper,36,Portugal,"£16,767",30.6.2027,2026/27
"Kieran Carrick","Kingsmoor Athletic",Example League (ENG),Defender,35,Ireland,"£20,026",30.6.2029,2026/27
"Tobias Maddox","Kingsmoor Athletic",Example League (ENG),Defender,30,Ireland,"£5,378",30.6.2029,2026/27
"Ashton Fairhurst","Kingsmoor Athletic",Example League (ENG),Defender,21,Portugal,"£7,071",30.6.2028,2026/27
"Jarrod Carrick","Kingsmoor Athletic",Example League (ENG),Defender,23,Sweden,"£6,476",30.6.2030,2026/27
"Marcus Ashworth","Kingsmoor Athletic",Example League (ENG),Forward,19,Portugal,"£13,832",30.6.2028,2026/27
"Leon Rushton","Kingsmoor Athletic",Example League (ENG),Midfielder,36,Ireland,"£13,195",30.6.2029,2026/27
"Ellis Halliwell","Kingsmoor Athletic",Example League (ENG),Forward,27,Portugal,"£12,770",30.6.2027,2026/27
"Ellis Prentice","Kingsmoor Athletic",Example League (ENG),Midfielder,26,Portugal,"£8,853",30.6.2030,2026/27
"Ashton Rushton","Kingsmoor Athletic",Example League (ENG),Midfielder,25,Ireland,"£10,070",30.6.2030,2026/27
"Callum Gorton","Kingsmoor Athletic",Example League (ENG),Midfielder,29,Ireland,"£11,697",30.6.2028,2026/27
"Callum Winslow","Kingsmoor Athletic",Example League (ENG),Defender,19,Ireland,"£7,377",30.6.2030,2026/27
"Dominic Halliwell","Kingsmoor Athletic",Example League (ENG),Defender,30,Portugal,"£7,323",30.6.2028,2026/27
"Owen Devlin","Harborough Town",Example League (ENG),Midfielder,19,Ireland,"£3,619",30.6.2028,2026/27
"Kieran Ashworth","Harborough Town",Example League (ENG),Goalkeeper,20,Scotland,"£17,341",30.6.2028,2026/27
"Marcus Rushton","Harborough Town",Example League (ENG),Midfielder,30,England,"£9,007",30.6.2027,2026/27
"Marcus Maddox","Harborough Town",Example League (ENG),Forward,29,England,"£12,619",30.6.2028,2026/27
"Marcus Fairhurst","Harborough Town",Example League (ENG),Defender,25,Scotland,"£5,748",30.6.2028,2026/27
"Ashton Ashworth","Harborough Town",Example League (ENG),Defender,25,Scotland,"£6,903",30.6.2030,2026/27
"Callum Fairhurst","Harborough Town",Example League (ENG),Forward,20,Nigeria,"£6,568",30.6.2030,2026/27
"Tobias Rushton","Harborough Town",Example League (ENG),Forward,18,Sweden,"£15,514",30.6.2027,2026/27
"Jarrod Fairhurst","Harborough Town",Example League (ENG),Midfielder,21,Portugal,"£5,539",30.6.2029,2026/27
"Dominic Fairhurst","Harborough Town",Example League (ENG),Forward,24,Scotland,"£22,022",30.6.2029,2026/27
"Dominic Ashworth","Harborough Town",Example League (ENG),Midfielder,32,England,"£25,725",30.6.2029,2026/27
"Tobias Ashworth","Harborough Town",Example League (ENG),Forward,29,England,"£4,593",30.6.2029,2026/27
"Dominic Devlin","Harborough Town",Example League (ENG),Midfielder,21,Ireland,"£13,079",30.6.2029,2026/27
"Rowan Halliwell","Harborough Town",Example League (ENG),Goalkeeper,25,Scotland,"£7,338",30.6.2028,2026/27
"Jarrod Devlin","Harborough Town",Example League (ENG),Midfielder,35,Scotland,"£18,977",30.6.2027,2026/27
"Leon Prentice","Harborough Town",Example League (ENG),Goalkeeper,19,Scotland,"£8,831",30.6.2029,2026/27
"Rowan Carrick","Harborough Town",Example League (ENG),Midfielder,35,England,"£8,150",30.6.2029,2026/27
"Kieran Winslow","Harborough Town",Example League (ENG),Defender,33,Portugal,"£24,575",30.6.2028,2026/27
"Ellis Rushton","Harborough Town",Example League (ENG),Forward,30,England,"£15,236",30.6.2029,2026/27
"Rowan Devlin","Harborough Town",Example League (ENG),Midfielder,35,England,"£9,024",30.6.2028,2026/27
"Leon Maddox","Harborough Town",Example League (ENG),Forward,21,England,"£14,765",30.6.2030,2026/27
"Marcus Carrick","Harborough Town",Example League (ENG),Midfielder,26,England,"£7,034",30.6.2028,2026/27
"Owen Maddox","Harborough Town",Example League (ENG),Goalkeeper,33,Sweden,"£9,791",30.6.2030,2026/27
"Ashton Devlin","Harborough Town",Example League (ENG),Forward,36,Nigeria,"£8,624",30.6.2028,2026/27
"Reece Halliwell","Westfield United",Example League (ENG),Defender,29,Portugal,"£4,298",30.6.2027,2026/27
"Tobias Fairhurst","Westfield United",Example League (ENG),Goalkeeper,26,Nigeria,"£5,196",30.6.2027,2026/27
"Kieran Rushton","Westfield United",Example League (ENG),Goalkeeper,33,Scotland,"£3,228",30.6.2027,2026/27
"Callum Carrick","Westfield United",Example League (ENG),Forward,28,England,"£10,254",30.6.2029,2026/27
"Kieran Prentice","Westfield United",Example League (ENG),Defender,23,Ireland,"£11,292",30.6.2028,2026/27
"Dominic Prentice","Westfield United",Example League (ENG),Midfielder,27,England,"£7,871",30.6.2029,2026/27
"Reece Ashworth","Westfield United",Example League (ENG),Goalkeeper,30,Scotland,"£7,795",30.6.2030,2026/27
"Ashton Prentice","Westfield United",Example League (ENG),Goalkeeper,26,Scotland,"£20,652",30.6.2030,2026/27
"Ashton Gorton","Westfield United",Example League (ENG),Goalkeeper,30,Nigeria,"£23,314",30.6.2027,2026/27
"Ellis Ashworth","Westfield United",Example League (ENG),Midfielder,25,Ireland,"£15,058",30.6.2028,2026/27
"Jarrod Halliwell","Westfield United",Example League (ENG),Goalkeeper,30,Nigeria,"£8,875",30.6.2028,2026/27
"Jarrod Northrop","Westfield United",Example League (ENG),Defender,32,Portugal,"£13,577",30.6.2029,2026/27
"Ashton Northrop","Westfield United",Example League (ENG),Midfielder,31,Portugal,"£18,817",30.6.2030,2026/27
"Callum Rushton","Westfield United",Example League (ENG),Goalkeeper,24,England,"£15,987",30.6.2029,2026/27
"Dominic Carrick","Westfield United",Example League (ENG),Forward,29,Ireland,"£13,521",30.6.2028,2026/27
"Owen Rushton","Westfield United",Example League (ENG),Defender,23,Ireland,"£22,004",30.6.2028,2026/27
"Owen Halliwell","Westfield United",Example League (ENG),Forward,32,Ireland,"£15,504",30.6.2027,2026/27
"Ashton Maddox","Westfield United",Example League (ENG),Goalkeeper,23,Portugal,"£17,987",30.6.2030,2026/27
"Marcus Gorton","Westfield United",Example League (ENG),Defender,26,Sweden,"£7,241",30.6.2029,2026/27
"Leon Fairhurst","Westfield United",Example League (ENG),Goalkeeper,23,England,"£12,572",30.6.2029,2026/27
"Jarrod N. Prentice","Westfield United",Example League (ENG),Midfielder,27,Ireland,"£8,473",30.6.2028,2026/27
"Reece Fairhurst","Westfield United",Example League (ENG),Midfielder,28,Ireland,"£9,498",30.6.2029,2026/27
"Kieran Thorne","Westfield United",Example League (ENG),Midfielder,22,England,"£12,584",30.6.2028,2026/27
"Leon Devlin","Westfield United",Example League (ENG),Defender,22,Ireland,"£13,918",30.6.2029,2026/27
"Ellis Maddox","Ashcombe FC",Example League (ENG),Forward,27,England,"£15,794",30.6.2030,2026/27
"Owen L. Devlin","Ashcombe FC",Example League (ENG),Defender,25,Ireland,"£5,555",30.6.2029,2026/27
"Tobias J. Devlin","Ashcombe FC",Example League (ENG),Goalkeeper,30,England,"£8,159",30.6.2030,2026/27
"Reece M. Winslow","Ashcombe FC",Example League (ENG),Defender,33,Scotland,"£11,997",30.6.2029,2026/27
"Ashton H. Devlin","Ashcombe FC",Example League (ENG),Defender,20,Ireland,"£4,558",30.6.2029,2026/27
"Reece F. Prentice","Ashcombe FC",Example League (ENG),Forward,24,Ireland,"£13,972",30.6.2029,2026/27
"Marcus X. Carrick","Ashcombe FC",Example League (ENG),Goalkeeper,24,Ireland,"£9,184",30.6.2029,2026/27
"Dominic J. Halliwell","Ashcombe FC",Example League (ENG),Forward,32,England,"£6,170",30.6.2027,2026/27
"Ellis E. Winslow","Ashcombe FC",Example League (ENG),Forward,23,Scotland,"£9,883",30.6.2028,2026/27
"Kieran X. Carrick","Ashcombe FC",Example League (ENG),Defender,34,Nigeria,"£12,310",30.6.2030,2026/27
"Tobias H. Maddox","Ashcombe FC",Example League (ENG),Midfielder,35,Sweden,"£23,407",30.6.2030,2026/27
"Jarrod S. Devlin","Ashcombe FC",Example League (ENG),Defender,35,Scotland,"£10,306",30.6.2030,2026/27
"Owen P. Carrick","Ashcombe FC",Example League (ENG),Goalkeeper,33,Portugal,"£7,716",30.6.2030,2026/27
"Leon E. Rushton","Ashcombe FC",Example League (ENG),Forward,36,Portugal,"£10,845",30.6.2027,2026/27
"Owen F. Carrick","Ashcombe FC",Example League (ENG),Goalkeeper,21,England,"£6,542",30.6.2030,2026/27
"Leon C. Carrick","Ashcombe FC",Example League (ENG),Goalkeeper,30,Ireland,"£7,612",30.6.2029,2026/27
"Tobias W. Maddox","Ashcombe FC",Example League (ENG),Forward,18,Portugal,"£12,219",30.6.2029,2026/27
"Ellis Q. Halliwell","Ashcombe FC",Example League (ENG),Forward,24,Portugal,"£13,458",30.6.2027,2026/27
"Ellis E. Gorton","Ashcombe FC",Example League (ENG),Goalkeeper,20,England,"£17,423",30.6.2030,2026/27
"Ellis I. Ashworth","Ashcombe FC",Example League (ENG),Goalkeeper,25,England,"£13,186",30.6.2030,2026/27
"Rowan S. Winslow","Ashcombe FC",Example League (ENG),Goalkeeper,27,England,"£17,328",30.6.2030,2026/27
"Kieran X. Winslow","Ashcombe FC",Example League (ENG),Forward,21,Ireland,"£14,696",30.6.2028,2026/27
"Jarrod S. Thorne","Ashcombe FC",Example League (ENG),Defender,32,Ireland,"£12,356",30.6.2030,2026/27
"Dominic H. Northrop","Ashcombe FC",Example League (ENG),Midfielder,32,Nigeria,"£8,084",30.6.2030,2026/27
"Dominic C. Prentice","Brackenhill Albion",Example League (ENG),Midfielder,28,Nigeria,"£17,900",30.6.2028,2026/27
"Ashton E. Fairhurst","Brackenhill Albion",Example League (ENG),Goalkeeper,35,England,"£14,980",30.6.2028,2026/27
"Marcus A. Ashworth","Brackenhill Albion",Example League (ENG),Defender,33,Nigeria,"£13,388",30.6.2027,2026/27
"Kieran F. Thorne","Brackenhill Albion",Example League (ENG),Forward,29,Portugal,"£17,084",30.6.2029,2026/27
"Ashton F. Rushton","Brackenhill Albion",Example League (ENG),Midfielder,25,England,"£8,792",30.6.2028,2026/27
"Owen O. Ashworth","Brackenhill Albion",Example League (ENG),Goalkeeper,26,Nigeria,"£17,300",30.6.2029,2026/27
"Callum G. Maddox","Brackenhill Albion",Example League (ENG),Forward,26,Scotland,"£11,572",30.6.2029,2026/27
"Jarrod Z. Northrop","Brackenhill Albion",Example League (ENG),Goalkeeper,25,Sweden,"£7,077",30.6.2030,2026/27
"Reece Q. Halliwell","Brackenhill Albion",Example League (ENG),Midfielder,28,Portugal,"£4,152",30.6.2030,2026/27
"Leon P. Winslow","Brackenhill Albion",Example League (ENG),Goalkeeper,35,England,"£19,780",30.6.2029,2026/27
"Reece H. Carrick","Brackenhill Albion",Example League (ENG),Defender,22,England,"£4,904",30.6.2028,2026/27
"Jarrod E. Thorne","Brackenhill Albion",Example League (ENG),Forward,26,Nigeria,"£6,404",30.6.2029,2026/27
"Dominic D. Halliwell","Brackenhill Albion",Example League (ENG),Forward,34,England,"£17,747",30.6.2030,2026/27
"Ashton U. Ashworth","Brackenhill Albion",Example League (ENG),Goalkeeper,34,Sweden,"£13,301",30.6.2028,2026/27
"Jarrod D. Thorne","Brackenhill Albion",Example League (ENG),Defender,35,England,"£9,127",30.6.2030,2026/27
"Ellis N. Maddox","Brackenhill Albion",Example League (ENG),Forward,25,Scotland,"£8,623",30.6.2029,2026/27
"Marcus E. Maddox","Brackenhill Albion",Example League (ENG),Forward,27,Sweden,"£11,502",30.6.2028,2026/27
"Callum E. Rushton","Brackenhill Albion",Example League (ENG),Midfielder,26,Ireland,"£6,496",30.6.2027,2026/27
"Callum Y. Prentice","Brackenhill Albion",Example League (ENG),Midfielder,25,Scotland,"£5,078",30.6.2027,2026/27
"Dominic J. Prentice","Brackenhill Albion",Example League (ENG),Goalkeeper,24,Ireland,"£5,884",30.6.2029,2026/27
"Dominic V. Winslow","Brackenhill Albion",Example League (ENG),Goalkeeper,36,England,"£16,001",30.6.2030,2026/27
"Callum E. Devlin","Brackenhill Albion",Example League (ENG),Goalkeeper,27,Sweden,"£14,625",30.6.2028,2026/27
"Callum I. Gorton","Brackenhill Albion",Example League (ENG),Midfielder,18,England,"£7,716",30.6.2030,2026/27
"Tobias X. Halliwell","Brackenhill Albion",Example League (ENG),Defender,31,Portugal,"£13,881",30.6.2030,2026/27
"Rowan H. Fairhurst","Dunmore County",Example League (ENG),Defender,18,England,"£7,994",30.6.2028,2026/27
"Rowan Z. Rushton","Dunmore County",Example League (ENG),Goalkeeper,36,England,"£15,140",30.6.2028,2026/27
"Callum P. Carrick","Dunmore County",Example League (ENG),Midfielder,23,England,"£11,139",30.6.2028,2026/27
"Kieran Z. Rushton","Dunmore County",Example League (ENG),Defender,28,Ireland,"£8,494",30.6.2030,2026/27
"Callum C. Thorne","Dunmore County",Example League (ENG),Midfielder,35,England,"£13,469",30.6.2028,2026/27
"Marcus U. Carrick","Dunmore County",Example League (ENG),Midfielder,19,Portugal,"£13,701",30.6.2030,2026/27
"Callum I. Ashworth","Dunmore County",Example League (ENG),Forward,22,Scotland,"£5,914",30.6.2027,2026/27
"Dominic K. Ashworth","Dunmore County",Example League (ENG),Forward,20,Ireland,"£8,896",30.6.2028,2026/27
"Rowan Q. Rushton","Dunmore County",Example League (ENG),Midfielder,29,England,"£6,638",30.6.2027,2026/27
"Dominic I. Thorne","Dunmore County",Example League (ENG),Goalkeeper,35,England,"£14,113",30.6.2027,2026/27
"Leon M. Maddox","Dunmore County",Example League (ENG),Midfielder,29,Ireland,"£13,449",30.6.2029,2026/27
"Owen U. Winslow","Dunmore County",Example League (ENG),Goalkeeper,31,Ireland,"£9,878",30.6.2029,2026/27
"Callum K. Carrick","Dunmore County",Example League (ENG),Defender,35,Scotland,"£5,099",30.6.2027,2026/27
"Leon W. Northrop","Dunmore County",Example League (ENG),Defender,31,Scotland,"£7,619",30.6.2030,2026/27
"Dominic H. Winslow","Dunmore County",Example League (ENG),Forward,23,Nigeria,"£6,334",30.6.2029,2026/27
"Kieran E. Prentice","Dunmore County",Example League (ENG),Goalkeeper,25,England,"£5,652",30.6.2028,2026/27
"Reece X. Thorne","Dunmore County",Example League (ENG),Defender,34,England,"£4,950",30.6.2030,2026/27
"Kieran I. Northrop","Dunmore County",Example League (ENG),Forward,24,England,"£6,940",30.6.2030,2026/27
"Jarrod N. Carrick","Dunmore County",Example League (ENG),Midfielder,22,Sweden,"£11,172",30.6.2029,2026/27
"Dominic S. Halliwell","Dunmore County",Example League (ENG),Midfielder,29,Scotland,"£5,558",30.6.2028,2026/27
"Owen T. Maddox","Dunmore County",Example League (ENG),Defender,21,Ireland,"£8,100",30.6.2028,2026/27
"Dominic E. Ashworth","Dunmore County",Example League (ENG),Midfielder,19,England,"£7,380",30.6.2030,2026/27
"Owen F. Maddox","Dunmore County",Example League (ENG),Forward,26,Scotland,"£10,090",30.6.2030,2026/27
"Ellis S. Rushton","Dunmore County",Example League (ENG),Forward,22,Scotland,"£17,702",30.6.2027,2026/27
"Marcus W. Devlin","Ravensworth FC",Example League (ENG),Forward,29,Sweden,"£6,723",30.6.2029,2026/27
"Rowan Q. Winslow","Ravensworth FC",Example League (ENG),Forward,20,England,"£6,732",30.6.2030,2026/27
"Leon K. Gorton","Ravensworth FC",Example League (ENG),Midfielder,35,England,"£7,293",30.6.2030,2026/27
"Owen H. Maddox","Ravensworth FC",Example League (ENG),Midfielder,26,Nigeria,"£11,600",30.6.2028,2026/27
"Kieran J. Rushton","Ravensworth FC",Example League (ENG),Defender,25,Nigeria,"£8,362",30.6.2029,2026/27
"Kieran D. Devlin","Ravensworth FC",Example League (ENG),Goalkeeper,36,England,"£5,859",30.6.2028,2026/27
"Owen H. Carrick","Ravensworth FC",Example League (ENG),Defender,30,Scotland,"£11,397",30.6.2029,2026/27
"Leon N. Thorne","Ravensworth FC",Example League (ENG),Defender,31,Scotland,"£9,216",30.6.2030,2026/27
"Tobias T. Rushton","Ravensworth FC",Example League (ENG),Midfielder,25,England,"£8,142",30.6.2028,2026/27
"Rowan N. Devlin","Ravensworth FC",Example League (ENG),Defender,23,Ireland,"£7,139",30.6.2029,2026/27
"Leon Q. Winslow","Ravensworth FC",Example League (ENG),Midfielder,22,Nigeria,"£13,167",30.6.2030,2026/27
"Tobias N. Prentice","Ravensworth FC",Example League (ENG),Forward,28,Nigeria,"£2,578",30.6.2027,2026/27
"Reece T. Thorne","Ravensworth FC",Example League (ENG),Forward,26,England,"£7,662",30.6.2030,2026/27
"Marcus M. Prentice","Ravensworth FC",Example League (ENG),Goalkeeper,29,England,"£18,884",30.6.2027,2026/27
"Kieran J. Gorton","Ravensworth FC",Example League (ENG),Midfielder,26,Scotland,"£7,320",30.6.2027,2026/27
"Tobias D. Carrick","Ravensworth FC",Example League (ENG),Defender,21,England,"£8,799",30.6.2029,2026/27
"Tobias G. Prentice","Ravensworth FC",Example League (ENG),Defender,25,Ireland,"£10,485",30.6.2028,2026/27
"Owen Q. Thorne","Ravensworth FC",Example League (ENG),Forward,20,Portugal,"£10,062",30.6.2030,2026/27
"Marcus N. Maddox","Ravensworth FC",Example League (ENG),Forward,29,Ireland,"£9,954",30.6.2027,2026/27
"Owen L. Carrick","Ravensworth FC",Example League (ENG),Midfielder,27,Sweden,"£8,063",30.6.2030,2026/27
"Marcus I. Rushton","Ravensworth FC",Example League (ENG),Goalkeeper,23,Scotland,"£7,858",30.6.2028,2026/27
"Reece U. Northrop","Ravensworth FC",Example League (ENG),Forward,31,Portugal,"£5,053",30.6.2028,2026/27
"Tobias S. Devlin","Ravensworth FC",Example League (ENG),Midfielder,36,Ireland,"£8,796",30.6.2029,2026/27
"Rowan R. Carrick","Ravensworth FC",Example League (ENG),Defender,25,Sweden,"£6,630",30.6.2029,2026/27
"Reece Q. Prentice","Elmsbury Rangers",Example League (ENG),Midfielder,30,Ireland,"£6,868",30.6.2027,2026/27
"Tobias L. Carrick","Elmsbury Rangers",Example League (ENG),Forward,36,Portugal,"£9,420",30.6.2029,2026/27
"Tobias R. Northrop","Elmsbury Rangers",Example League (ENG),Midfielder,27,Scotland,"£6,312",30.6.2027,2026/27
